rearLowPctChgReal,rearLowPctChgPred,rearHighPctChgReal,rearHighPctChgPred,rearDiffPctChgReal,rearDiffPctChgPred,open,high,low,close,volume,amount,turn,pctChg,remarks,primaryKey,date,code,code_name,isST,insert_timestamp
-1.107,-1.497,1.524,1.374,2.63,3.008,62.7,63.49,62.1,62.35,31157662.0,1952652719.83,1.4643,-0.5899,,c27ed65103789166d2ec7ed0764e8d5f,2023-07-27,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.57,-2.489,2.002,2.378,3.572,5.006,62.1,63.3,61.66,62.43,35964028.0,2247705528.13,1.6902,0.1283,,c7f6619fc7d8f3b47328a993d17bfb47,2023-07-28,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-6.489,-2.607,-1.781,2.417,4.707,5.177,62.43,63.68,61.45,62.88,45398937.0,2854344536.66,2.1336,0.7208,,30d1004fbb2525e5e2878603033a9c70,2023-07-31,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.247,-2.959,3.205,2.986,3.451,5.879,61.1,61.76,58.8,60.85,90880195.0,5468125513.31,4.271,-3.2284,,b136bce0f53ad8af13f60b1ab5e26082,2023-08-01,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.359,-1.455,1.86,1.457,3.219,3.405,60.85,62.8,60.7,61.82,42086647.0,2596945543.8,1.9779,1.5941,,a9713d9fe6fa1a94fcf413d03a7b088a,2023-08-02,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.483,-2.309,2.671,2.261,3.154,4.703,61.09,62.97,60.98,62.14,28042385.0,1741412433.02,1.3179,0.5176,,c0f3dc389e628d9976b49d8e629a07a0,2023-08-03,sz.002230,科大讯飞,0,2023-12-18 21:02:14
0.237,-2.609,2.653,2.669,2.416,5.278,62.28,63.8,61.84,63.32,44850669.0,2834322475.59,2.1078,1.8989,,99b3bcceb19a10c2d832d7732fe172b8,2023-08-04,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-0.533,-2.607,1.364,2.417,1.897,5.177,64.0,65.0,63.47,63.8,47069928.0,3028083665.16,2.2121,0.7581,,3419a238f43d12795fdc137b53698f2a,2023-08-07,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-1.211,-2.324,2.187,2.258,3.398,4.605,63.8,64.67,63.46,63.57,26139375.0,1673325390.5,1.2285,-0.3605,,03b9c489440bb3a3a9e975c14583a011,2023-08-08,sz.002230,科大讯飞,0,2023-12-18 21:02:14
-2.267,-2.478,-0.156,2.508,2.111,5.177,63.37,64.96,62.8,63.95,45192764.0,2902559634.54,2.1239,0.5978,,1a19f055f20c4e031b26c1eab4b42358,2023-08-09,sz.002230,科大讯飞,0,2023-12-18 21:02:14
